group_number,id,initials,stress_status,tr,blinks_per_minute
1,1,AA,stressed,1,22
1,1,AA,stressed,2,21
1,1,AA,stressed,3,20
1,1,AA,unstressed,1,24
1,1,AA,unstressed,2,22
1,1,AA,unstressed,3,23
1,2,AB,stressed,1,20
1,2,AB,stressed,2,21
1,2,AB,stressed,3,22
1,2,AB,unstressed,1,18
1,2,AB,unstressed,2,19
1,2,AB,unstressed,3,20
1,3,AC,stressed,1,17
1,3,AC,stressed,2,19
1,3,AC,stressed,3,18
1,3,AC,unstressed,1,20
1,3,AC,unstressed,2,21
1,3,AC,unstressed,3,20
1,4,AD,stressed,1,19
1,4,AD,stressed,2,20
1,4,AD,stressed,3,21
1,4,AD,unstressed,1,23
1,4,AD,unstressed,2,22
1,4,AD,unstressed,3,24
1,5,AE,stressed,1,22
1,5,AE,stressed,2,23
1,5,AE,stressed,3,22
1,5,AE,unstressed,1,19
1,5,AE,unstressed,2,18
1,5,AE,unstressed,3,20
1,6,AF,stressed,1,20
1,6,AF,stressed,2,19
1,6,AF,stressed,3,18
1,6,AF,unstressed,1,21
1,6,AF,unstressed,2,22
1,6,AF,unstressed,3,21
1,7,AG,stressed,1,18
1,7,AG,stressed,2,19
1,7,AG,stressed,3,20
1,7,AG,unstressed,1,23
1,7,AG,unstressed,2,22
1,7,AG,unstressed,3,24
1,8,AH,stressed,1,21
1,8,AH,stressed,2,22
1,8,AH,stressed,3,21
1,8,AH,unstressed,1,19
1,8,AH,unstressed,2,20
1,8,AH,unstressed,3,18
1,9,AI,stressed,1,20
1,9,AI,stressed,2,19
1,9,AI,stressed,3,18
1,9,AI,unstressed,1,22
1,9,AI,unstressed,2,23
1,9,AI,unstressed,3,21
1,10,AJ,stressed,1,19
1,10,AJ,stressed,2,21
1,10,AJ,stressed,3,20
1,10,AJ,unstressed,1,18
1,10,AJ,unstressed,2,20
1,10,AJ,unstressed,3,19
2,11,AK,stressed,1,22
2,11,AK,stressed,2,21
2,11,AK,stressed,3,23
2,11,AK,unstressed,1,19
2,11,AK,unstressed,2,18
2,11,AK,unstressed,3,20
2,12,AL,stressed,1,20
2,12,AL,stressed,2,19
2,12,AL,stressed,3,18
2,12,AL,unstressed,1,21
2,12,AL,unstressed,2,22
2,12,AL,unstressed,3,21
2,13,AM,stressed,1,18
2,13,AM,stressed,2,19
2,13,AM,stressed,3,20
2,13,AM,unstressed,1,23
2,13,AM,unstressed,2,22
2,13,AM,unstressed,3,24
2,14,AN,stressed,1,21
2,14,AN,stressed,2,22
2,14,AN,stressed,3,21
2,14,AN,unstressed,1,19
2,14,AN,unstressed,2,20
2,14,AN,unstressed,3,18
2,15,AO,stressed,1,20
2,15,AO,stressed,2,19
2,15,AO,stressed,3,18
2,15,AO,unstressed,1,22
2,15,AO,unstressed,2,23
2,15,AO,unstressed,3,21
2,16,AP,stressed,1,19
2,16,AP,stressed,2,21
2,16,AP,stressed,3,20
2,16,AP,unstressed,1,18
2,16,AP,unstressed,2,20
2,16,AP,unstressed,3,19
2,17,AQ,stressed,1,22
2,17,AQ,stressed,2,21
2,17,AQ,stressed,3,23
2,17,AQ,unstressed,1,19
2,17,AQ,unstressed,2,18
2,17,AQ,unstressed,3,20
2,18,AR,stressed,1,20
2,18,AR,stressed,2,19
2,18,AR,stressed,3,18
2,18,AR,unstressed,1,21
2,18,AR,unstressed,2,22
2,18,AR,unstressed,3,21
2,19,AS,stressed,1,18
2,19,AS,stressed,2,19
2,19,AS,stressed,3,20
2,19,AS,unstressed,1,23
2,19,AS,unstressed,2,22
2,19,AS,unstressed,3,24
2,20,AT,stressed,1,21
2,20,AT,stressed,2,22
2,20,AT,stressed,3,21
2,20,AT,unstressed,1,19
2,20,AT,unstressed,2,20
2,20,AT,unstressed,3,18
